target,init,lr,book,same_script_sources,n_sources,best_source,best_chrF3,best_spBLEU,mean_chrF3,verses,per_source
rmc,same_script,0.0003,GEN 1:,0,4,hin,37.27,20.52,36.25,31,"{'hin': 37.27, 'mar': 36.22, 'guj': 35.47, 'asm': 36.02}"
ilo,existing,0.0003,RUT,4,4,tgl,62.43,36.12,55.15,85,"{'mri': 46.43, 'ind': 51.35, 'ceb': 60.39, 'tgl': 62.43}"
ilo,existing,0.0003,JON,4,4,ceb,61.75,34.45,54.65,48,"{'mri': 47.41, 'ind': 47.97, 'ceb': 61.75, 'tgl': 61.47}"
ilo,existing,0.0003,GEN 1:,4,4,ceb,61.11,34.51,58.44,31,"{'mri': 55.14, 'ind': 57.45, 'ceb': 61.11, 'tgl': 60.06}"
ilo,relative,0.0003,RUT,4,4,tgl,62.32,36.32,54.87,85,"{'mri': 46.58, 'ind': 51.29, 'ceb': 59.27, 'tgl': 62.32}"
ilo,relative,0.0003,JON,4,4,tgl,62.31,35.71,54.93,48,"{'mri': 47.64, 'ind': 47.79, 'ceb': 61.97, 'tgl': 62.31}"
ilo,relative,0.0003,GEN 1:,4,4,ceb,61.68,36.19,58.57,31,"{'mri': 54.59, 'ind': 57.2, 'ceb': 61.68, 'tgl': 60.82}"
ilo,scratch,0.0003,RUT,4,4,tgl,62.04,35.98,54.79,85,"{'mri': 46.68, 'ind': 50.5, 'ceb': 59.94, 'tgl': 62.04}"
ilo,scratch,0.0003,JON,4,4,tgl,62.16,36.13,54.75,48,"{'mri': 47.26, 'ind': 48.07, 'ceb': 61.52, 'tgl': 62.16}"
ilo,scratch,0.0003,GEN 1:,4,4,ceb,60.71,33.55,58.16,31,"{'mri': 54.64, 'ind': 57.03, 'ceb': 60.71, 'tgl': 60.25}"
